function,optimizer,lr,SEE,CI_lo,CI_hi,half_CI
Himmelblau,GD_fixed,0.001,0.022626994160090747,0.022336385972749607,0.022930586256448834,0.00029710014184961345
Himmelblau,Adam,0.001,0.0,0.0,0.0,0.0
Himmelblau,RMSProp,0.001,0.0,0.0,0.0,0.0
Himmelblau,AdaGrad,0.001,0.0,0.0,0.0,0.0
Himmelblau,GD_fixed,0.01,0.18939393186810072,0.1870907390084191,0.19175455417066156,0.0023319075811212286
Himmelblau,Adam,0.01,0.0,0.0,0.0,0.0
Himmelblau,RMSProp,0.01,0.022896394217940756,0.02274019329164298,0.02305209774089442,0.00015595222462571993
Himmelblau,AdaGrad,0.01,0.0,0.0,0.0,0.0
Himmelblau,GD_fixed,0.05,0.5,0.5,0.5,0.0
Himmelblau,Adam,0.05,0.03675119565037576,0.03654302941713868,0.036948087936449284,0.00020252925965530064
Himmelblau,RMSProp,0.05,0.2506265658170022,0.25,0.25157232704402516,0.0007861635220125784
Himmelblau,AdaGrad,0.05,0.0,0.0,0.0,0.0
Himmelblau,GD_fixed,0.1,0.9615384968074834,0.9345794392523364,0.9852216748768474,0.02532111781225549
Himmelblau,Adam,0.1,0.06983240372284626,0.06934812760055478,0.07032410643656563,0.0004879894180054231
Himmelblau,RMSProp,0.1,0.5,0.5,0.5,0.0
Himmelblau,AdaGrad,0.1,0.02161928390245624,0.021466137168616506,0.021772262138036142,0.0001530624847098181
Himmelblau,GD_fixed,0.2,1.0,1.0,1.0,0.0
Himmelblau,Adam,0.2,0.13218770554344467,0.13105945321478568,0.133422281521014,0.0011814141531141659
Himmelblau,RMSProp,0.2,1.0,1.0,1.0,0.0
Himmelblau,AdaGrad,0.2,0.07150518588125544,0.07102272727272728,0.07196833393306945,0.0004728033301710857
Himmelblau,GD_fixed,0.5,1.0,1.0,1.0,0.0
Himmelblau,Adam,0.5,0.31152647604866296,0.3058103975535168,0.3164682340668819,0.005328918256682552
Himmelblau,RMSProp,0.5,1.0,1.0,1.0,0.0
Himmelblau,AdaGrad,0.5,0.2503128982843649,0.25,0.25094102885821834,0.0004705144291091701
