function,optimizer,lr,SEE,CI_lo,CI_hi,half_CI
Rosenbrock,GD_fixed,0.001,0.0,0.0,0.0,0.0
Rosenbrock,Adam,0.001,0.0,0.0,0.0,0.0
Rosenbrock,RMSProp,0.001,0.0,0.0,0.0,0.0
Rosenbrock,AdaGrad,0.001,0.0,0.0,0.0,0.0
Rosenbrock,GD_fixed,0.01,0.003956478793641025,0.0027867711116881812,0.005183380397769018,0.0011983046430404183
Rosenbrock,Adam,0.01,0.0,0.0,0.0,0.0
Rosenbrock,RMSProp,0.01,0.0,0.0,0.0,0.0
Rosenbrock,AdaGrad,0.01,0.0,0.0,0.0,0.0
Rosenbrock,GD_fixed,0.05,0.4385964967317309,0.42372881355932207,0.45454545454545453,0.01540832049306623
Rosenbrock,Adam,0.05,0.0,0.0,0.0,0.0
Rosenbrock,RMSProp,0.05,0.0,0.0,0.0,0.0
Rosenbrock,AdaGrad,0.05,0.0,0.0,0.0,0.0
Rosenbrock,GD_fixed,0.1,0.5633802892574833,0.5405405405405405,0.5882352941176471,0.02384737678855331
Rosenbrock,Adam,0.1,0.0,0.0,0.0,0.0
Rosenbrock,RMSProp,0.1,0.015,0.005,0.0275,0.01125
Rosenbrock,AdaGrad,0.1,0.0,0.0,0.0,0.0
Rosenbrock,GD_fixed,0.2,0.6849314889533816,0.6514657980456027,0.7220216606498195,0.035277931302108434
Rosenbrock,Adam,0.2,0.0,0.0,0.0,0.0
Rosenbrock,RMSProp,0.2,1.0,1.0,1.0,0.0
Rosenbrock,AdaGrad,0.2,0.0,0.0,0.0,0.0
Rosenbrock,GD_fixed,0.5,0.8333333002196431,0.7936507936507936,0.8733624454148472,0.039855825882026796
Rosenbrock,Adam,0.5,0.0,0.0,0.0,0.0
Rosenbrock,RMSProp,0.5,1.0,1.0,1.0,0.0
Rosenbrock,AdaGrad,0.5,0.0,0.0,0.0,0.0
