function,optimizer,lr,SEE,CI_lo,CI_hi,half_CI
Ackley_2D,GD_fixed,0.001,0.0,0.0,0.0,0.0
Ackley_2D,Adam,0.001,0.0,0.0,0.0,0.0
Ackley_2D,RMSProp,0.001,0.0,0.0,0.0,0.0
Ackley_2D,AdaGrad,0.001,0.0,0.0,0.0,0.0
Ackley_2D,GD_fixed,0.01,0.0,0.0,0.0,0.0
Ackley_2D,Adam,0.01,0.0,0.0,0.0,0.0
Ackley_2D,RMSProp,0.01,0.0,0.0,0.0,0.0
Ackley_2D,AdaGrad,0.01,0.0,0.0,0.0,0.0
Ackley_2D,GD_fixed,0.05,0.0,0.0,0.0,0.0
Ackley_2D,Adam,0.05,0.0,0.0,0.0,0.0
Ackley_2D,RMSProp,0.05,0.0,0.0,0.0,0.0
Ackley_2D,AdaGrad,0.05,0.0,0.0,0.0,0.0
Ackley_2D,GD_fixed,0.1,0.0,0.0,0.0,0.0
Ackley_2D,Adam,0.1,0.0,0.0,0.0,0.0
Ackley_2D,RMSProp,0.1,0.001,0.0,0.003,0.0015
Ackley_2D,AdaGrad,0.1,0.0,0.0,0.0,0.0
Ackley_2D,GD_fixed,0.2,0.01275765734198241,0.010841900654478086,0.014938579906529342,0.0020483396260256278
Ackley_2D,Adam,0.2,0.0,0.0,0.0,0.0
Ackley_2D,RMSProp,0.2,1.0,1.0,1.0,0.0
Ackley_2D,AdaGrad,0.2,0.0,0.0,0.0,0.0
Ackley_2D,GD_fixed,0.5,0.9216589537709687,0.8403361344537815,0.9900990099009901,0.07488143772360428
Ackley_2D,Adam,0.5,0.0,0.0,0.0,0.0
Ackley_2D,RMSProp,0.5,1.0,1.0,1.0,0.0
Ackley_2D,AdaGrad,0.5,0.0,0.0,0.0,0.0
