function,optimizer,lr,SEE,CI_lo,CI_hi,half_CI
Rastrigin,GD_fixed,0.001,0.0,0.0,0.0,0.0
Rastrigin,Adam,0.001,0.0,0.0,0.0,0.0
Rastrigin,RMSProp,0.001,0.0,0.0,0.0,0.0
Rastrigin,AdaGrad,0.001,0.0,0.0,0.0,0.0
Rastrigin,GD_fixed,0.01,0.0,0.0,0.0,0.0
Rastrigin,Adam,0.01,0.0,0.0,0.0,0.0
Rastrigin,RMSProp,0.01,0.0,0.0,0.0,0.0
Rastrigin,AdaGrad,0.01,0.0,0.0,0.0,0.0
Rastrigin,GD_fixed,0.05,0.6191950427832172,0.5882352941176471,0.6535947712418301,0.0326797385620915
Rastrigin,Adam,0.05,0.0,0.0,0.0,0.0
Rastrigin,RMSProp,0.05,0.0,0.0,0.0,0.0
Rastrigin,AdaGrad,0.05,0.0,0.0,0.0,0.0
Rastrigin,GD_fixed,0.1,0.8583691268190418,0.819672131147541,0.9009009009009008,0.0406143848766799
Rastrigin,Adam,0.1,0.0,0.0,0.0,0.0
Rastrigin,RMSProp,0.1,0.465894139601263,0.4523126379082083,0.47846889952153115,0.013078130806661425
Rastrigin,AdaGrad,0.1,0.0,0.0,0.0,0.0
Rastrigin,GD_fixed,0.2,0.970873813375653,0.9478672985781991,0.9900990099009901,0.02111585566139551
Rastrigin,Adam,0.2,0.0,0.0,0.0,0.0
Rastrigin,RMSProp,0.2,1.0,1.0,1.0,0.0
Rastrigin,AdaGrad,0.2,0.0,0.0,0.0,0.0
Rastrigin,GD_fixed,0.5,0.9950248803429337,0.9852216748768474,1.0,0.00738916256157629
Rastrigin,Adam,0.5,0.0,0.0,0.0,0.0
Rastrigin,RMSProp,0.5,1.0,1.0,1.0,0.0
Rastrigin,AdaGrad,0.5,0.0,0.0,0.0,0.0
