function,optimizer,lr,SEE,CI_lo,CI_hi,half_CI
Levy,GD_fixed,0.001,0.0,0.0,0.0,0.0
Levy,Adam,0.001,0.0,0.0,0.0,0.0
Levy,RMSProp,0.001,0.0,0.0,0.0,0.0
Levy,AdaGrad,0.001,0.0,0.0,0.0,0.0
Levy,GD_fixed,0.01,0.0,0.0,0.0,0.0
Levy,Adam,0.01,0.0,0.0,0.0,0.0
Levy,RMSProp,0.01,0.0,0.0,0.0,0.0
Levy,AdaGrad,0.01,0.0,0.0,0.0,0.0
Levy,GD_fixed,0.05,0.0,0.0,0.0,0.0
Levy,Adam,0.05,0.0,0.0,0.0,0.0
Levy,RMSProp,0.05,0.0,0.0,0.0,0.0
Levy,AdaGrad,0.05,0.0,0.0,0.0,0.0
Levy,GD_fixed,0.1,0.0,0.0,0.0,0.0
Levy,Adam,0.1,0.0,0.0,0.0,0.0
Levy,RMSProp,0.1,0.0,0.0,0.0,0.0
Levy,AdaGrad,0.1,0.0,0.0,0.0,0.0
Levy,GD_fixed,0.2,0.0,0.0,0.0,0.0
Levy,Adam,0.2,0.04969888884704075,0.043495392730670865,0.055566729043017606,0.00603566815617337
Levy,RMSProp,0.2,1.0,1.0,1.0,0.0
Levy,AdaGrad,0.2,0.0,0.0,0.0,0.0
Levy,GD_fixed,0.5,0.0,0.0,0.0,0.0
Levy,Adam,0.5,0.25,0.25,0.25,0.0
Levy,RMSProp,0.5,1.0,1.0,1.0,0.0
Levy,AdaGrad,0.5,0.0,0.0,0.0,0.0
